"","bureau","CS1","CS2","CS3","CS4","CS5","CS6","CS7","CS8","18-24 ans","25-39 ans","40-54 ans","55-64 ans","65-79 ans","80 ans","Arthaud","Asselineau","Cheminade","Dupont_Aignan","Fillon","Hamon","Lassalle","Lepen","Macron","Melenchon","Poutou"
"204",1341,0,2.92940480765857,23.753019618647,17.2452851277851,13.9732800803769,7.45489536969713,13.1785388622872,21.4404026604115,12.1012994186472,22.2521150599817,21.2582535538698,12.051309120402,6.27995493154865,2.90172539024116,0.33955857385399,1.18845500848896,0.169779286926995,1.64119977362762,10.2999434069044,10.243350311262,0.848896434634975,5.03678551216752,26.0894170911149,25.8064516129032,0.565930956423316
"205",1342,0.023928002657638,2.16552539657505,10.938473390838,14.5840100066435,23.5695200829027,7.23074704730233,22.2599319550205,19.2286136148333,8.66586336282763,21.1956579357026,21.6328909661895,12.0990718904792,11.1761977400741,6.12479678444423,0.468854655056932,0.937709310113865,0.0669792364367046,2.47823174815807,8.50636302746149,10.649698593436,0.535833891493637,6.89886135298058,20.629604822505,24.3134628265238,0.602813127930342
"206",1343,0.00038832382974012,2.32336615978525,20.2461039467999,16.6530127504081,17.1935810909656,6.9670768281169,15.3108818557199,21.294489715329,12.3755851942493,20.8750446758098,21.1444506209705,12.3697269656412,7.52751918255035,3.35458990095739,0.405561993047509,1.04287369640788,0.0579374275782155,1.5063731170336,12.630359212051,9.21205098493627,0.52143684820394,3.93974507531866,29.2004634994206,22.0741599073001,0.579374275782155
"207",1344,0,1.7270289919568,19.3491830430992,14.5992801510924,18.5319035037124,8.82853267877016,19.3677665088082,17.5616323219705,10.4653714602837,22.9571813283534,20.210285001471,13.2594555190301,9.72200866691587,3.84331474525867,0.34106412005457,0.886766712141883,0.0682128240109141,1.90995907230559,11.3915416098226,9.27694406548431,0.34106412005457,6.41200545702592,19.9181446111869,21.8281036834925,0.682128240109141
"208",1345,0.00180699661009841,1.76615751219425,21.9133814534293,15.2721484894993,19.9882707599381,4.32708782792069,19.8150772833498,16.8704449138657,9.41192912065947,25.7131961882793,19.2982814683624,13.1684892232332,10.995352001988,2.73955680431378,0.221565731166913,1.10782865583456,0.0738552437223043,1.47710487444609,11.1521418020679,7.38552437223043,0.51698670605613,7.23781388478582,22.6735598227474,23.5598227474151,1.10782865583456
"209",1346,0.0194974624551603,2.07123651523635,13.2336328040781,13.9707278578799,24.3739469220879,5.9098468965325,23.3319066519849,17.0727930112067,7.45776518675817,24.7782113399778,20.1914770509578,12.9526902126596,12.4423060554498,5.0820638238465,0.472533963378618,0.826934435912581,0.413467217956291,4.25280567040756,11.5770821027761,8.26934435912581,0.531600708800945,12.994683992912,21.3821618428825,17.0702894270526,0.826934435912581
"210",1347,0.0748465079562826,1.04499708436078,32.4028236872533,15.9602257512184,11.3907012843257,2.44853811631223,21.2654260622181,15.4107184150287,9.35589899374836,23.6563978827607,19.0989167946926,13.6233867544736,13.8815661955371,4.01836353532864,0.397953382603752,0.739056281978397,0.0568504832291074,1.87606594656055,15.861284820921,10.574189880614,0.45480386583286,4.15008527572484,33.314383172257,16.8277430358158,0.682205798749289
"211",1348,0.0105261938491238,2.3594992486936,29.833955292029,15.2938728252617,11.7525932608255,4.06440023686529,19.1702127909558,17.4727686656645,10.3897431292296,25.9225851288709,19.9529673047803,11.5747597474853,10.479237985678,4.2504454813004,0.300842358604091,0.842358604091456,0.240673886883273,1.38387484957882,12.9362214199759,10.589651022864,0.421179302045728,4.57280385078219,30.14440433213,18.6522262334537,0.72202166064982
"212",1349,0,2.77555083903914,32.4300543743669,14.5999696157543,10.101989386595,2.72635780000814,18.5509625789708,18.8012059168827,12.1197223549967,28.0287493461953,19.2979945215645,11.3249412842172,10.5350668993249,4.28555860523368,0.364077669902913,0.606796116504854,0.0606796116504854,1.45631067961165,14.9271844660194,11.3470873786408,0.546116504854369,2.36650485436893,33.4344660194175,19.0533980582524,0.485436893203883
"213",1350,0.0303601751507685,2.23054126816805,30.9142667303462,15.4244843945092,11.2465361730049,2.70723944068985,20.0492627470599,17.410941414924,15.9942378100113,25.4694242281937,16.7897274368406,12.0698777028311,11.5992020658818,4.34645058648118,0.485731633272617,0.971463266545234,0.121432908318154,1.27504553734062,15.1183970856102,10.8075288403157,0.121432908318154,2.9143897996357,34.0619307832423,20.0971463266545,0.85003035822708
"214",1351,0.0008362204388825,2.58952357168408,36.3563184047103,11.6297703073241,8.85390373444891,2.50122392947199,22.0459984570777,16.0222163197343,9.80899028198521,21.7008049032304,18.5280352092316,16.4219360094187,12.895574243253,3.38912138194504,0.29585798816568,0.591715976331361,0.177514792899408,1.71597633136095,16.0355029585799,9.64497041420118,0.473372781065089,2.9585798816568,32.7218934911243,18.9940828402367,0.236686390532544
"215",1352,0.0464805348239143,1.67900217896605,26.0931863363467,15.3586057211211,13.533173220047,3.46496457301434,23.3178889772463,16.507550547501,14.5898776365777,19.5081409316078,18.3891168647602,15.4207380534087,11.7142293643085,5.19405547525714,0.216763005780347,0.939306358381503,0.216763005780347,1.80635838150289,16.4739884393064,10.4768786127168,0.65028901734104,4.55202312138728,33.4537572254335,17.1965317919075,0.505780346820809
"216",1353,0,1.98863604005028,12.3345860319394,14.7444490417475,19.2476156513302,6.24157967655497,28.6170850641684,16.8273007791505,8.8378093951731,16.4977565086447,20.8918020074545,13.8356998208955,12.8388245093522,8.34166337473729,0.310318076027929,1.39643134212568,0.155159038013964,1.08611326609775,11.8696664080683,10.0077579519007,0.387897595034911,6.20636152055857,26.3770364623739,20.7913110938712,0.620636152055857
"217",1354,0.0721753293358437,1.53486336428934,26.3793450231966,15.0658416359767,12.3354673396601,4.01222420245361,24.9537143053369,15.6464075068801,10.0669282225372,20.9152188259435,19.2464050181961,14.4861022305037,13.2379899391457,5.74058209523227,0.48721071863581,1.0353227771011,0.243605359317905,1.94884287454324,13.2764920828258,12.1802679658953,0.365408038976857,4.75030450669915,30.3897685749087,19.4275274056029,0.365408038976857
"218",1355,0,1.65067127456154,17.8587378753604,14.2262697478396,14.6281316054599,4.28966090444105,30.6099579176744,16.7365830512263,7.11047072558114,16.4494750340682,20.2670536404418,14.2039270367332,14.7387388299703,10.3119896978809,0.157977883096367,0.710900473933649,0,1.81674565560821,14.4549763033175,6.71406003159558,0.552922590837283,7.03001579778831,28.3570300157978,19.5102685624013,0.947867298578199
