objectid,nbr_elect_,nbr_elec_1,nbr_elec_2,nbr_elec_3,validite,arrondisse,num_bv,id_bv,shape_area,shape_len
8177,14922,144,133,0,non,177,666,"1766",0,0
838888,1398888,17777,16666,0,non,17777,8888,"1708",0,0
8522,14500,144,144,0,non,177,522,"1752",0,0
8611,14588,99,88,0,non,177,366,"1736",0,0
8644,15388,144,122,0,non,177,299,"1729",0,0
8666,13699,177,166,0,non,177,488,"1748",0,0
8699,12466,177,144,0,non,177,300,"1730",0,0
8733,12733,300,288,0,non,99,55,"905",0,0
8755,12899,300,299,0,non,99,44,"904",0,0
88111,135999,2333,2222,0,non,999,1111,"911",0,0
88333,134666,2666,2444,0,non,999,1222,"912",0,0
88777,137888,2333,2222,0,non,999,2111,"921",0,0
8900,14366,199,188,0,non,99,255,"925",0,0
89333,126999,1444,1444,111,non,999,1777,"917",0,0
89555,132444,1888,2000,0,non,999,1666,"916",0,0
