"bureau","inscrits","votants","blancs","exprimes","ARTHAUD","ASSELINEAU","CHEMINADE","DUPONT-AIGNAN","FILLON","HAMON","LASSALLE","LE PEN","MACRON","MÉLENCHON","POUTOU"
"1211","1364","1149","6","1134","6","6","1","24","256","147","4","91","383","210","6"
"1212","1462","1248","13","1232","6","10","1","37","208","132","6","89","466","270","7"
"1213","1450","1233","7","1220","4","10","1","13","254","139","8","46","509","228","8"
"1214","1405","1161","10","1149","1","11","5","31","322","103","2","75","388","204","7"
"1215","1503","1268","17","1246","2","11","2","25","234","149","7","73","438","297","8"
"1216","1348","1169","8","1156","1","6","0","12","365","129","10","51","424","154","4"
"1217","1325","1138","11","1125","1","9","0","21","362","90","5","40","422","172","3"
"1218","1335","1147","6","1137","3","6","3","13","269","137","9","43","393","252","9"
"1219","1548","1246","13","1225","5","8","4","34","228","124","7","95","423","287","10"
"1220","1403","1198","14","1182","2","5","1","26","267","131","6","51","459","225","9"
"1221","1573","1354","13","1336","2","12","4","39","308","153","4","80","448","278","8"
"1222","1472","1164","7","1153","1","8","3","13","194","133","10","88","366","331","6"
"1223","1420","1134","14","1113","5","2","0","29","252","92","8","54","400","261","10"
"1224","1415","1177","13","1160","2","11","5","29","179","167","8","72","424","259","4"
"1225","1504","1263","14","1241","5","10","3","37","289","130","7","64","427","264","5"
"1226","1412","1190","20","1164","6","7","2","35","274","142","8","63","413","207","7"
"1227","1384","1185","12","1167","3","13","2","27","210","168","10","63","389","276","6"
"1228","1407","1161","19","1137","4","12","1","28","237","109","8","118","339","275","6"
"1229","1372","1109","19","1085","1","17","2","25","252","113","8","91","371","192","13"
"1230","1387","1202","7","1192","3","15","1","26","348","108","7","47","463","172","2"
"1231","1448","1260","10","1245","3","3","4","25","296","133","4","51","470","249","7"
"1232","1467","1267","9","1253","4","10","0","36","341","153","7","58","443","194","7"
"1233","1528","1249","26","1219","5","9","1","36","267","135","9","80","443","219","15"
"1234","1531","1319","13","1299","5","11","3","43","290","133","3","77","521","208","5"
"1235","1477","1288","12","1272","1","3","3","23","373","109","14","51","504","184","7"
"1236","1415","1151","11","1135","4","12","0","37","240","131","7","109","368","220","7"
"1237","1325","1114","29","1085","3","9","4","33","183","126","5","76","348","289","9"
"1238","1570","1316","9","1301","6","9","2","49","246","149","5","105","444","278","8"
"1239","1248","1055","8","1042","2","11","1","38","234","105","9","62","370","201","9"
"1240","1232","1069","13","1050","2","13","1","30","194","125","9","69","401","198","8"
"1241","1260","1112","11","1100","0","1","0","22","306","133","12","51","402","169","4"
"1242","1305","1097","12","1084","6","10","3","27","214","152","5","69","373","218","7"
"1243","1207","981","16","958","3","16","0","39","176","88","10","130","281","203","12"
"1244","1497","1246","13","1232","5","11","3","17","270","145","7","99","412","253","10"
"1245","1280","1001","12","986","5","17","3","24","155","100","13","108","279","273","9"
"1246","1501","1259","15","1240","3","16","4","26","237","135","7","62","450","289","11"
"1247","1426","1157","9","1124","7","8","1","26","224","113","8","94","357","277","9"
"1248","1521","1247","13","1231","1","20","3","26","206","144","11","97","373","342","8"
"1249","1540","1282","11","1267","8","10","4","37","209","160","7","72","491","257","12"
"1250","1551","1306","10","1292","4","6","3","27","221","155","6","68","427","365","10"
"1251","1451","1192","14","1166","3","13","2","21","255","109","9","57","417","274","6"
"1252","1240","1067","7","1060","2","5","0","15","270","109","6","39","429","180","5"
"1253","1566","1360","9","1345","4","6","1","12","293","156","6","37","575","243","12"
"1254","1424","1134","10","1118","14","15","2","22","231","144","7","91","364","221","7"
"1255","1478","1272","13","1254","4","7","1","21","219","174","10","53","452","306","7"
"1256","1459","1263","14","1245","1","14","3","13","188","174","9","42","508","285","8"
"1257","1451","1245","18","1220","4","8","1","25","148","192","5","40","478","312","7"
"1258","1425","1217","6","1211","4","4","0","16","209","168","9","60","471","263","7"
"1259","1236","1048","9","1035","4","5","2","14","236","100","1","52","399","217","5"
"1260","1352","1131","6","1122","6","7","6","15","156","154","9","72","399","284","14"
"1261","1516","1291","12","1273","4","9","0","28","240","161","9","101","441","275","5"
"1262","1451","1262","9","1251","1","4","1","14","196","190","9","42","509","273","12"
"1263","1303","1068","18","1047","2","19","0","27","171","122","10","54","381","250","11"
"1264","1203","1068","12","1050","0","5","3","24","258","131","6","51","408","158","6"
"1301","1643","1431","13","1415","2","14","0","23","310","187","1","42","567","260","9"
"1302","1396","1190","14","1170","7","12","1","23","200","133","4","53","448","279","10"
"1303","1655","1347","12","1323","6","16","3","20","189","187","15","97","461","322","7"
"1304","1167","933","18","912","6","8","2","26","149","104","8","81","263","252","13"
"1305","1535","1284","14","1262","5","15","3","26","227","158","3","74","475","271","5"
"1306","1208","1042","15","1018","5","7","3","16","180","121","7","58","386","228","7"
"1307","1631","1319","14","1295","4","8","0","33","215","152","8","77","453","328","17"
"1308","1458","1200","10","1182","5","12","3","26","210","136","5","61","414","295","15"
"1309","1319","1042","11","1023","3","9","4","22","145","127","6","95","307","293","12"
"1310","1289","1069","17","1046","5","10","0","37","172","98","9","116","333","258","8"
"1311","1471","1156","18","1130","4","12","3","28","190","110","9","86","359","314","15"
"1312","1478","1205","14","1181","3","11","3","28","211","139","3","110","344","309","20"
"1313","1663","1395","27","1363","3","14","2","34","238","167","12","51","509","321","12"
"1314","1438","1154","23","1120","8","11","3","33","161","118","10","119","313","330","14"
"1315","1707","1352","18","1327","9","17","4","28","247","135","13","108","441","316","9"
"1316","1901","1556","21","1525","7","19","4","49","231","191","6","100","473","423","22"
"1317","1645","1377","15","1356","4","18","4","36","293","129","12","81","470","300","9"
"1318","1508","1209","17","1186","4","12","7","26","188","155","14","76","322","375","7"
"1319","1796","1399","15","1374","9","17","3","27","328","147","12","93","429","301","8"
"1320","1832","1412","16","1384","5","18","2","31","330","122","6","125","402","330","13"
"1321","1555","1250","16","1227","2","12","3","32","318","98","7","160","343","235","17"
"1322","1563","1178","23","1145","10","15","5","40","150","109","11","155","309","327","14"
"1323","1441","1195","9","1178","5","13","2","21","177","159","6","93","329","360","13"
"1324","1453","1204","17","1175","4","10","2","31","130","138","6","94","373","379","8"
"1325","1688","1260","28","1218","7","22","2","26","162","126","7","115","333","403","15"
"1326","1628","1385","15","1359","5","18","2","35","206","177","11","85","466","347","7"
"1327","1821","1527","23","1491","3","9","5","37","166","191","6","114","548","398","14"
"1328","1739","1494","16","1476","5","14","3","37","204","166","18","101","578","336","14"
"1329","1306","1008","16","986","6","13","4","26","151","120","5","100","253","296","12"
"1330","1640","1357","19","1330","4","17","1","25","214","185","5","97","405","365","12"
"1331","1366","1176","6","1166","5","8","1","30","223","120","7","59","465","241","7"
"1332","1691","1386","18","1358","9","15","2","35","197","172","9","89","384","422","24"
"1333","671","509","13","492","2","7","0","14","46","58","4","28","136","193","4"
"1334","1733","1526","13","1506","4","21","6","31","225","193","11","75","542","380","18"
"1335","1234","986","6","978","3","14","2","25","182","109","6","64","316","249","8"
"1336","1385","1182","15","1164","3","14","0","23","233","134","1","48","455","243","10"
"1337","1731","1360","21","1329","7","18","1","38","171","149","19","115","422","377","12"
"1338","1359","1095","13","1073","1","15","3","26","317","73","5","63","368","191","11"
"1339","1780","1436","28","1403","6","19","2","25","269","166","5","84","447","366","14"
"1340","1650","1413","15","1395","2","12","2","20","241","179","9","64","579","280","7"
"1341","1767","1475","18","1453","6","21","3","29","182","181","15","89","461","456","10"
"1342","1493","1156","14","1136","7","14","1","37","127","159","8","103","308","363","9"
"1343","1726","1431","16","1401","7","18","1","26","218","159","9","68","504","381","10"
"1344","1466","1096","15","1071","5","13","1","28","167","136","5","94","292","320","10"
"1345","1354","1053","11","1036","3","15","1","20","151","100","7","98","307","319","15"
"1346","1693","1366","24","1331","8","14","7","72","196","140","9","220","362","289","14"
"1347","1759","1511","11","1494","7","13","1","33","279","186","8","73","586","296","12"
"1348","1662","1361","8","1343","5","14","4","23","215","176","7","76","501","310","12"
"1349","1648","1415","15","1395","6","10","1","24","246","187","9","39","551","314","8"
"1350","1647","1444","12","1430","8","16","2","21","249","178","2","48","561","331","14"
"1351","1690","1440","18","1417","5","10","3","29","271","163","8","50","553","321","4"
"1352","1384","1210","5","1197","3","13","3","25","228","145","9","63","463","238","7"
"1353","1289","1038","14","1021","4","18","2","14","153","129","5","80","340","268","8"
"1354","1642","1407","14","1387","8","17","4","32","218","200","6","78","499","319","6"
"1355","1266","1031","11","1016","2","9","0","23","183","85","7","89","359","247","12"
"1356","1586","1352","15","1334","7","13","2","17","273","163","5","58","474","312","10"
"1357","1543","1311","12","1293","5","13","2","14","215","169","6","80","441","335","13"
"1358","1563","1350","16","1329","5","14","2","16","235","179","6","59","513","291","9"
"1359","1760","1487","19","1465","8","13","3","23","283","174","10","83","541","321","6"
"1360","1611","1328","14","1307","6","7","0","25","241","188","10","75","449","297","9"
"1361","1530","1319","10","1302","3","12","4","16","239","168","8","51","531","261","9"
"1362","1708","1488","28","1456","11","7","0","23","317","183","6","53","618","227","11"
"1363","1390","1237","13","1223","3","4","4","14","320","119","5","32","512","200","10"
"1364","1456","1242","19","1219","3","11","2","29","205","148","4","62","506","242","7"
"1365","1682","1481","11","1465","4","10","0","16","305","186","5","41","627","260","11"
"1366","1661","1453","10","1437","4","13","0","25","321","167","6","69","558","266","8"
"1367","1498","1273","14","1254","1","14","1","18","269","152","3","40","482","266","8"
"1368","1437","1224","14","1205","6","16","2","17","122","166","10","74","447","336","9"
"1369","1395","1175","15","1155","1","9","0","18","234","153","7","56","429","246","2"
"1370","1166","1016","17","992","2","8","3","15","142","104","11","57","371","270","9"
"1371","1169","1052","14","1034","5","14","3","22","129","130","3","81","353","286","8"
"1401","1354","1139","18","1116","4","7","1","12","224","127","9","39","478","209","6"
"1402","1490","1279","9","1267","4","10","7","21","321","140","5","64","464","221","10"
"1403","1576","1383","9","1372","2","13","1","17","370","143","3","34","566","218","5"
"1404","1470","1253","4","1247","5","9","5","17","269","147","7","39","486","255","8"
"1405","1419","1241","9","1230","2","6","1","20","319","146","8","34","485","200","9"
"1406","1432","1240","6","1229","5","8","1","14","286","158","5","36","495","212","9"
"1407","1518","1315","13","1298","2","12","0","22","340","199","4","56","448","209","6"
"1408","1450","1273","6","1265","2","3","2","16","330","147","3","39","542","176","5"
"1409","1509","1286","13","1270","2","8","2","18","320","149","6","37","500","222","6"
"1410","1407","1167","17","1145","4","14","3","29","246","130","4","78","389","240","8"
"1411","1385","1189","9","1179","2","10","3","27","309","134","14","44","447","182","7"
"1412","1491","1274","15","1254","4","5","7","26","352","138","5","58","483","169","7"
"1413","1493","1306","11","1292","5","5","1","20","313","125","9","49","550","208","7"
"1414","1568","1402","8","1389","2","10","1","13","361","156","8","53","608","176","1"
"1415","1570","1332","17","1313","5","8","3","18","276","147","4","78","494","276","4"
"1416","1502","1269","20","1248","3","12","3","28","276","136","6","78","421","279","6"
"1417","1520","1304","8","1296","0","5","4","18","292","159","7","37","544","217","13"
