"","bureau","distance","C11_POP15P","C11_POP15P_CS1","C11_POP15P_CS2","C11_POP15P_CS3","C11_POP15P_CS4","C11_POP15P_CS5","C11_POP15P_CS6","C11_POP15P_CS7","C11_POP15P_CS8","POP","POP02","POP0305","POP0610","POP1117","POP1824","POP2539","POP4054","POP5564","POP6579","POP80P","PARTHAUD","PASSELINEAU","PCHEMINADE","PDUPONTAIGNAN","PFILLON","PHAMON","PLASSALLE","PLEPEN","PMACRON","PMELENCHON","PPOUTOU"
"706",1807,4202.59186,2918.63608016658,0.000811989677999614,3.40088039577815,30.9608055141995,20.3723442907909,12.7319265655632,7.0534817519742,13.8276459804264,11.6900705345756,3272.50862184393,3.61714130303462,2.46475494398234,2.69313594720612,3.69162956466162,8.58889828826353,40.375592389091,18.7368182716612,9.25779615419095,7.73376787444335,2.87577509492408,0.217706821480406,0.435413642960813,0.217706821480406,1.01596516690856,10.0870827285922,12.844702467344,0.507982583454282,3.77358490566038,30.2612481857765,22.133526850508,1.1611030478955
"707",1809,4560.34464,2438.81036271735,0,2.975144541783,25.3678843141623,18.0236364138454,17.4809044895425,8.02824714656125,14.0995030794746,14.0505530955931,2869.66440913164,4.38282147564389,3.79171102911188,4.09858122221491,4.80341215058437,8.16901387095525,35.799297163484,19.8780985448669,9.48750451896213,7.3509768113335,2.28534118816592,0.249221183800623,0.43613707165109,0.124610591900312,0.996884735202492,12.398753894081,14.018691588785,0.373831775700935,4.11214953271028,30.2803738317757,20.809968847352,0.249221183800623
"708",1810,4630.81698,2076.16753376887,0.00532759799644491,3.27685840604514,29.6450892616797,21.453856453486,14.283668988331,6.90246328216066,12.9097377858337,11.5151212385811,2375.70219914967,4.0866088912618,3.1341812088595,3.25737575994508,3.24939839125585,10.5819620669874,40.5953490788381,18.8471857384868,6.96749815163141,6.16598483850128,3.11550457431033,0.247831474597274,0.681536555142503,0.0619578686493185,1.85873605947955,8.55018587360595,12.8872366790582,0.247831474597274,3.28376703841388,28.7484510532838,23.4200743494424,0.743494423791822
"709",1811,4842.51071,1806.72267134498,2.74674653199505e-05,3.69373075818279,25.1376360647853,19.4308089593217,13.9039428934323,9.21409809712854,15.3239970478112,13.2492893311683,2082.59644797052,4.69521642156,2.57219128900454,3.23839003208429,4.32485623507288,9.37501666434608,37.8203027653674,17.1556228845161,8.8573608186801,9.11847183532964,2.85909224988798,0.259403372243839,0.583657587548638,0.324254215304799,0.972762645914397,11.9974059662776,13.6835278858625,0.453955901426719,4.15045395590143,26.0051880674449,22.2438391699092,0.648508430609598
"710",1812,4825.38768,2665.22456342749,0,2.81541156770467,16.776990489816,16.7496972689541,19.8589688867883,11.0608016569959,15.6853159563264,17.0574935996853,3097.95144959816,4.1149990511327,2.6097701248358,3.9773746643029,5.45605516873882,9.93894353838834,30.0568448446147,20.5064985591221,10.8526271042037,9.97907814024513,2.54631387615643,0.37593984962406,0.93984962406015,0.06265664160401,1.81704260651629,5.82706766917293,9.21052631578947,0.37593984962406,9.02255639097744,19.1729323308271,24.812030075188,0.6265664160401
"711",1813,5148.01046,3201.62321672574,4.48624385359821e-07,3.26207975965443,11.8732038217506,14.58614648418,17.5572106559757,13.1314044310995,13.3676449145873,26.210270559151,3906.06838399322,4.12582122606223,3.14422565002047,6.03066142131408,8.16267930944959,9.11067326455214,25.8368492014392,22.8635010639387,11.5146684902069,6.70207290966304,2.49945523218611,0.530973451327434,1.06194690265487,0.265486725663717,1.41592920353982,8.05309734513274,7.07964601769912,0.176991150442478,5.39823008849558,18.3185840707965,28.3185840707965,1.50442477876106
"712",1814,4766.795,3325.36702710321,0.062917349430179,3.11325450314177,20.9403341369145,17.8121500136042,18.3898254139657,9.54407707883875,15.7514609575055,14.3526638158013,3898.61388632867,4.19995599761177,3.19619285877777,4.22499010145652,5.30641844140218,9.15673666928223,33.3017912679691,19.6671441884252,9.36799342054434,8.34637689330503,3.21146127630268,0.440771349862259,1.32231404958678,0.275482093663912,0.771349862258953,8.92561983471074,10.9641873278237,0.330578512396694,4.13223140495868,22.534435261708,27.8787878787879,0.771349862258953
"713",1815,4560.7418,2123.68051020225,0.0801133764629825,2.58469010023495,21.508004362837,16.0641869950627,19.2325878105486,10.0091948361215,15.3885858157149,15.1022434067163,2533.76613057937,4.69139096774726,3.63520681353781,4.71209302457288,5.13406321712128,9.58114629511079,32.6475609950141,19.2986488098485,9.55817445924726,7.8579324448259,2.87435398804164,0.282087447108604,0.77574047954866,0.282087447108604,1.12834978843441,10.1551480959097,13.1170662905501,0.352609308885755,4.44287729196051,24.5416078984485,26.163610719323,0.634696755994358
"714",1816,4420.21692,2232.62839463509,0.000137109059667919,2.0682926508236,23.4149771593533,18.2093915764753,19.2254440867883,9.7603992162894,13.6974753335116,13.5981977684618,2670.99235179455,3.73872572576241,4.26872585329432,4.91128142999953,5.49328670584772,10.2822589269135,32.3370693111719,19.6919592922065,10.238952131339,6.59207945077954,2.43155413629846,0.387096774193548,0.774193548387097,0.129032258064516,1.29032258064516,8.06451612903226,10.8387096774194,0.580645161290323,6.38709677419355,22.7096774193548,27.0967741935484,0.838709677419355
"715",1817,4071.32537,3459.23578682533,0,1.94261580772143,19.7152470101768,15.8921487014479,19.8228738767962,11.3895200016186,10.0075990805174,21.2285719427416,4272.33142823166,6.46953259615277,4.76469877200878,5.13493539511972,4.46936460484715,8.25819491323925,35.2251221008733,20.4673497462714,7.41776054525558,6.35237208090869,1.46030233385049,0.224340998317443,0.89736399326977,0.112170499158721,0.785193494111049,7.1228266965788,12.4509254066181,0.560852495793606,3.30902972518228,26.6965787997757,28.0987100392597,0.89736399326977
"716",1818,3819.60491,2594.47283820233,0.0282656627974667,2.65699948669833,26.9874753307175,15.7208596254537,14.6307634289517,9.04741646716325,12.6414883674677,18.2882687318262,3114.1905110734,5.29877585967038,3.65713520181447,4.99516878106505,5.02036091028866,7.4554864517312,33.6163997914634,21.2717730601204,8.65927619483001,7.65107581879087,2.39293644545094,0.455840455840456,0.626780626780627,0.170940170940171,1.53846153846154,8.49002849002849,13.8461538461538,0.284900284900285,2.39316239316239,28.9458689458689,25.8119658119658,1.25356125356125
